year,country
2016,China
2016,South Korea
2016,Singapore
2016,Hong Kong
2016,Vietnam
2016,Thailand
2016,Japan
2016,Indonesia
2016,Germany
2016,Malaysia
2015,China
2015,Singapore
2015,South Korea
2015,Hong Kong
2015,Thailand
2015,Vietnam
2015,Japan
2015,Indonesia
2015,United States
2015,Taiwan
2014,China
2014,Singapore
2014,South Korea
2014,Thailand
2014,Hong Kong
2014,Indonesia
2014,Taiwan
2014,Japan
2014,Vietnam
2014,Malaysia
2013,China
2013,South Korea
2013,Singapore
2013,Thailand
2013,Hong Kong
2013,Indonesia
2013,Japan
2013,Taiwan
2013,Malaysia
2013,United States
2012,China
2012,Singapore
2012,South Korea
2012,Thailand
2012,Indonesia
2012,Hong Kong
2012,Japan
2012,Taiwan
2012,Malaysia
2012,India
2011,China
2011,South Korea
2011,Singapore
2011,Thailand
2011,Indonesia
2011,Japan
2011,Taiwan
2011,Hong Kong
2011,Malaysia
2011,India
2010,China
2010,Singapore
2010,South Korea
2010,Japan
2010,Hong Kong
2010,Thailand
2010,Taiwan
2010,Indonesia
2010,Malaysia
2010,United States
2009,China
2009,Singapore
2009,South Korea
2009,Japan
2009,Thailand
2009,Hong Kong
2009,Taiwan
2009,Indonesia
2009,United States
2009,Malaysia
2008,China
2008,South Korea
2008,Singapore
2008,Japan
2008,Taiwan
2008,Thailand
2008,Hong Kong
2008,Indonesia
2008,United States
2008,Malaysia